datetime,open,low,high,close,volume
2024-01-04 14:40,468.51,468.45,468.5399,468.45,84677
2024-01-04 14:41,468.45,468.37,468.46,468.4,370340
2024-01-04 14:42,468.4,468.3499,468.5,468.5,137590
2024-01-04 14:43,468.5,468.365,468.51,468.395,119830
2024-01-04 14:44,468.39,468.34,468.45,468.38,369307
2024-01-04 14:45,468.37,468.17,468.37,468.28,208989
2024-01-04 14:46,468.27,468.27,468.42,468.34,163079
2024-01-04 14:47,468.34,468.33,468.4499,468.3797,170722
2024-01-04 14:48,468.37,468.36,468.51,468.5077,166064
2024-01-04 14:49,468.5,468.45,468.665,468.645,226965
2024-01-04 14:50,468.645,468.63,468.89,468.84,203104
2024-01-04 14:51,468.83,468.79,468.8846,468.87,120771
2024-01-04 14:52,468.865,468.81,468.985,468.83,167404
2024-01-04 14:53,468.82,468.71,468.84,468.71,196343
2024-01-04 14:54,468.705,468.705,468.865,468.86,363020
2024-01-04 14:55,468.85,468.805,468.96,468.92,152306
2024-01-04 14:56,468.91,468.8,468.92,468.8,78068
2024-01-04 14:57,468.7901,468.76,468.8966,468.785,93640
2024-01-04 14:58,468.78,468.6401,468.78,468.67,93379
2024-01-04 14:59,468.68,468.55,468.7,468.68,353708
2024-01-04 15:00,468.6832,468.6,468.735,468.635,78333
2024-01-04 15:01,468.63,468.53,468.69,468.57,83050
2024-01-04 15:02,468.57,468.54,468.65,468.61,329539
2024-01-04 15:03,468.62,468.41,468.625,468.4401,120293
2024-01-04 15:04,468.431,468.3795,468.51,468.4699,63463
2024-01-04 15:05,468.47,468.4684,468.69,468.67,168662
2024-01-04 15:06,468.67,468.63,468.82,468.8,173786
2024-01-04 15:07,468.81,468.7236,468.86,468.765,104601
2024-01-04 15:08,468.765,468.7,468.91,468.91,142491
2024-01-04 15:09,468.905,468.86,469.04,468.98,222820
2024-01-04 15:10,468.985,468.88,469.02,469.01,136947
2024-01-04 15:11,469.01,468.8,469.02,468.815,143466
2024-01-04 15:12,468.81,468.705,468.84,468.75,196478
2024-01-04 15:13,468.76,468.7,468.78,468.73,133655
2024-01-04 15:14,468.73,468.58,468.7685,468.59,437314
2024-01-04 15:15,468.59,468.46,468.62,468.48,480289
2024-01-04 15:16,468.46,468.07,468.52,468.26,539687
2024-01-04 15:17,468.27,468.175,468.325,468.25,149588
2024-01-04 15:18,468.24,468.18,468.29,468.195,857223
2024-01-04 15:19,468.19,468.18,468.43,468.33,246073
2024-01-04 15:20,468.3201,468.23,468.38,468.33,134662
2024-01-04 15:21,468.34,468.26,468.44,468.26,123888
2024-01-04 15:22,468.26,468.13,468.31,468.19,152326
2024-01-04 15:23,468.19,468.145,468.33,468.22,215830
2024-01-04 15:24,468.22,468.185,468.25,468.23,116630
2024-01-04 15:25,468.23,468.189,468.315,468.291,107799
2024-01-04 15:26,468.29,468.1643,468.325,468.185,116447
2024-01-04 15:27,468.18,468.1,468.225,468.17,168747
2024-01-04 15:28,468.17,468.075,468.17,468.08,269255
